,Date,original_stage,discharge_corrected,tidal value,Flow (CFS),StormSurge,y
1431,1994-05-09,16.62,0.494273597,1.414493638,1150000.0,-0.0992244065900056,-0.9202200409999999
1432,1994-05-10,16.61,0.585671422,1.399529164,1153000.0,-0.136554637240738,-0.813857742
1433,1994-05-11,16.61,0.596622282,1.442117855,1164000.0,-0.0969587615184845,-0.845495573
1434,1994-05-18,15.91,1.058237715,1.453498261,1060000.0,0.137825107673585,-0.39526054600000005
1435,1994-05-19,15.81,1.046957318,1.355720055,1054000.0,0.0855897908351155,-0.3087627369999999
1436,1994-05-20,15.81,1.331649896,1.308857881,1042000.0,0.18028319992681,0.022792015000000054
1437,1994-05-21,15.59,1.274658534,1.282444397,1025000.0,0.191972900868398,-0.0077858629999998374
1438,1994-05-22,15.33,1.312214009,1.313095534,1014000.0,0.133577871963837,-0.0008815249999998276
1439,1994-05-23,15.01,1.113296802,1.330279863,999000.0,-0.241851212788694,-0.21698306099999987
1440,1994-05-27,13.87,0.874988217,1.12745958,905000.0,0.0667535795994987,-0.25247136300000006
1441,1994-05-28,13.58,1.270508623,1.035332525,868000.0,0.224214122123572,0.23517609799999994
1442,1994-05-29,13.23,1.473932597,0.965198433,827000.0,0.280134662465859,0.5087341639999999
1443,1994-05-30,12.74,1.624286979,0.960586909,778000.0,0.454990402633197,0.6637000700000001
1444,1994-05-31,12.03,1.670411642,0.986790374,724000.0,0.326233157763906,0.6836212679999999
1445,1994-06-01,11.36,1.822963199,1.062211593,671000.0,0.27756337806519,0.7607516059999999
1446,1994-06-02,10.68,1.939084094,1.114434808,627000.0,0.33339240502896,0.8246492860000001
1447,1994-06-03,9.87,1.830605093,1.13260882,580000.0,0.204555009629198,0.697996273
1448,1994-06-07,6.9,1.085548308,1.092623408,458000.0,0.288879275276001,-0.007075100000000001
1449,1994-06-08,6.42,0.895475097,1.158450913,444000.0,0.174018400710198,-0.262975816
1450,1994-06-09,5.94,0.640845287,1.22958929,426000.0,-0.0406784119031236,-0.5887440030000001
1451,1994-06-10,5.59,0.577978831,1.293668548,410000.0,-0.0965059248427851,-0.7156897170000001
1452,1994-06-11,5.38,0.595485332,1.32084898,407000.0,-0.126199204556385,-0.7253636480000001
1453,1994-06-12,5.37,0.581736888,1.328202934,404000.0,-0.0610176399866882,-0.7464660459999999
1454,1994-06-13,5.23,0.517871902,1.315135338,398000.0,-0.0929261245028205,-0.7972634359999999
1455,1994-06-14,5.08,0.441778636,1.290848154,398000.0,0.0062092057559187,-0.8490695180000001
